사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec-19,1호선,150,서울역,1042,21,10804,8783,13452,49937,40767,101055,81199,220571,64368,168844,70852,91540,95831,86529,106216,96975,108214,97152,89914,91981,125125,94537,129038,100034,177406,110675,248660,114628,136845,84424,100035,62472,101492,56138,76803,41944,37056,22452,4110,8914,49,1604,0,66,0,0
Dec-19,1호선,151,시청,46,0,2172,4142,3803,21249,8116,62049,10169,197211,13606,95114,18235,54584,25502,53473,28413,52773,36558,55438,46069,47662,60367,41115,69107,37898,89518,42115,163467,43313,77381,23406,67436,13502,71582,11380,50236,9190,20295,5784,2863,1655,361,163,2,17,0,0
Dec-19,1호선,152,종각,87,3,4696,4602,4525,25488,6921,91653,11771,264798,15082,168849,20889,82912,35042,82637,45044,79641,60408,77482,73348,67521,91334,61497,102367,66202,150009,84324,244346,105131,129611,59762,122457,26177,145599,18865,127124,15721,62653,14201,13728,2156,929,186,25,8,0,0
Dec-19,1호선,153,종로3가,163,21,5272,2758,4633,13779,6352,26523,9944,79087,14651,89641,29077,82157,41535,94103,57455,99666,70189,93572,82636,85157,93336,73453,102170,67146,105478,65646,124104,67745,89934,37757,71134,17049,76497,12624,66273,9949,30282,7380,7093,3181,237,214,4,14,0,0
Dec-19,1호선,154,종로5가,48,2,2122,3650,2954,14608,5423,38232,9098,116878,13327,79435,22671,67390,35709,74812,49112,74819,63295,70940,74666,64899,76976,57676,81349,52742,97606,49599,123226,45262,67739,28093,49113,13019,43822,9596,35450,6706,12878,4631,1100,1471,16,90,1,1,0,0
Dec-19,1호선,155,동대문,736,11,15458,2168,11211,7176,16660,12786,23198,26136,23231,31752,22721,31670,24683,40284,29889,41283,33696,39973,36320,38400,38039,35939,38308,33557,36411,33542,33479,32620,23177,32602,19835,22961,17795,18743,14853,17964,8763,14309,1270,5288,116,277,1,13,0,0
Dec-19,1호선,156,신설동,268,15,9605,2289,10069,8260,19763,25253,30398,71967,22714,40163,21342,26435,25613,23854,27425,24174,29092,24689,29149,23600,31289,25706,36035,26458,46494,31047,68031,33226,29550,25298,20520,16996,18832,17566,14048,17264,6287,12885,701,3574,18,222,1,32,0,0
Dec-19,1호선,157,제기동,321,6,5113,2288,8091,9022,21301,18334,34521,43939,24853,43021,26520,41968,35465,54986,43717,61963,51391,67078,58474,60271,66772,50563,65099,39639,55059,31896,48742,29625,26060,22085,17941,14036,13128,12798,9387,12580,3933,9455,451,2144,40,112,1,2,0,0
Dec-19,1호선,158,청량리(서울시립대입구),1280,13,11386,3918,16325,13327,43121,17858,60425,40048,40631,37517,35814,39835,41872,53140,49842,58697,53369,66327,57635,65890,65497,61416,71720,56221,67030,55499,53726,62462,33219,46712,27269,29754,20243,28514,15007,29174,7162,20421,513,7254,20,596,0,0,0,0
